Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
62		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	21	55.84094524	23.46746325	8.183338493		0.043362079	8.940677345			0	0	1.216350682	0.3882966	0.472235074	0.691684149	0.755651854
61		PD03_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	18	16.19643718	0	0		0.010583163	0.015760826			8.183322847	14.10630196	0	0	0.0837019	9.267998487	52.13588476
65		PD03_02	PM2.5	2.458388832	1.769213915	5.858353627	1.110940318	98	63.82288933	8.439233899	1.188472565		2.20862031	3.594166413			4.991500825	3.829151765	0	0	2.649152279	0	9.276807308
63		PD03_02	PM2.5	3.352348407	2.065996747	8.547508198	1.734283291	124	36.64151728	16.41451865	12.57306933		5.063334852	0			0	3.952077404	5.290172994	12.79945225	0	7.265853137	0
67		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	39.75044787	50.7594645	0.467542326		6.20643273	0.06928771			0.247418531	0.265395246	0.298650237	0.339364982	0.413693581	0.518853078	0.663439371
68		PD03_02	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	59	45.02348602	43.48665476	3.087202273		5.878680944	0			0.040034595	2.483947016	0	0	0	0	0
72		PD03_02	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	63	73.67120981	22.76845872	0		0.985128991	0.121815316			0	0	0	0	0	2.453376912	0
73		PD03_02	PM2.5	4.246307982	2.325202624	7.836770723	1.150940647	180	55.69441319	0	5.419180915	22.70938754	0.717167091	0			0	1.572626829	0	2.551477216	0	11.33574694	0
74		PD03_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	28	6.751967221	51.42249465	23.54583889		0.022222121	16.68067575			0.157005934	0.152795052	0.171354378	0.193965586	0.234952103	0.293246983	0.373467919
76		PD03_02	PM2.5	2.793623673	1.88598837	6.306546055	1.132936	120	36.67587042	19.14728731	2.34447103		0	0			0	0	2.989161573	2.093433775	0	36.74978018	0
78		PD03_02	PM2.5	1.564429257	1.411344463	4.590674005	1.071981064	81	71.34400606	24.48603511	0		0.095127814	4.074832797			0	0	0	0	0	0	0
79		PD03_02	PM2.5	4.246307982	2.325202624	7.311680631	1.001873923	162	53.78109217	31.60215616	12.73246706		1.541036274	0			0	0	0	0	0	0.343247596	0
82		PD03_02	PM2.5	1.45268431	1.360005555	4.776321387	1.249700586	62	56.33317828	18.86589378	20.05184144		1.749912649	1.145206019			0	0	0.192684156	0	0.124128512	0.278201932	1.25894649
83		PD03_02	PM2.5	3.352348407	2.065996747	6.940385866	1.143426416	160	55.51504493	0	17.04643518		2.319847792	2.161201648			0	0	2.130830847	13.87738883	0	3.767652065	3.181600198
85		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17	45.41859329	13.18892241	0.004741113		0.006893979	0.014715774			31.83636665	5.520394444	0	4.009378701	0	0	0
