Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
22		BU02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	17	85.45490503	0	0			6.115277112	0.207225			0.739235384	0.793440547	0.892249774	1.014965307	1.238941029	1.554903388	1.9888537
24		BU02_03	PM2.5	4.581542823	2.415243569	8.841905299	1.35790724	139	42.81542599	0	0.901652873			1.035070419	7.825671881			0	0	12.99378574	4.158526286	7.317203283	10.07960886	12.87304163
25		BU02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	36	22.07192034	3.893068433	4.516268149			0.009998709	11.00972965			45.0620532	7.850713283	0	5.586252734	0	0	0
27		BU02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	23	76.42482519	0	1.455163676			2.669985965	18.03251654			0	0	0	0.604080036	0	0	0.813435297
26		BU02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	22	50.29147267	37.66446412	0.016539911			0.026636638	0			9.208747	1.94458887	0	0.847554021	0	0	0
28		BU02_03	PM2.5	0.782214628	0.997971241	4.033731857	1.65530586	28	69.49772835	0	28.51846516			0	0			0.178986427	0.191899645	0.215907907	0.245219306	0.298704137	0.374456123	0.47863517
30		BU02_03	PM10	8.604360912	3.309896157	10.71157268	1.061152972	203	47.64337242	6.078330427	6.101990119	16.67142212		0	3.583650291			2.601354569	0	0	0	0	1.018560678	16.30132049
29		BU02_03	PM2.5	4.246307982	2.325202624	9.366995392	1.644293193	139	54.90705967	2.0819759	0.243764929	32.16057718		3.258087113	1.860266551			0	1.860469952	3.10546346	0	0	0.522321276	0
32		BU02_03	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	28	12.83286661	7.421606779	11.49364263			0.012810589	0.019751659			0	8.132173866	30.51721156	13.1302774	0	16.43965542	0
34		BU02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	34	57.99618363	13.67521137	15.96840024			10.21939293	0			0.193734979	0.207542558	0.233347155	0.264841481	0.322234468	0.403599255	0.515506091
