Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
187		OC01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	20	36.8581444	8.211611956		0			9.960607439		0				10.86436138	18.99237931	0	0	3.154072165	1.447086316	10.51173136
189		OC01_02	PM2.5	2.123153991	1.644166543	5.147616152	0.99316396	64	81.91977143	0		0.580890523			0.008626977		11.22558638				0.648787664	0	0	0	0	0	5.616342649
190		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	44	50.85381269	17.01158732		0.496376399			2.506651916		10.60783044				0	0	0	0	13.70525062	0	4.8184935
192		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	13	27.10212469	63.43400478		7.33435303			0.176093681		0.047858022				0.171441212	0.183954323	0.20709387	0.235369825	0.287022628	0.360099948	0.460587116
193		OC01_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	16	64.20847774	34.85910892		0.285293511			0		0.048037677				0.173689018	0.186479941	0	0.238910434	0	0	0
195		OC01_02	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	5	74.01618958	0		6.15897961			0.05463431		0.094544108				0	0	9.299086779	1.629537158	3.651763499	3.603706881	1.491561066
196		OC01_02	PM2.5	3.911073142	2.231531534	7.311680631	1.087748831	140	10.67297831	15.64121097		14.63843286			2.856110968		1.568079181				7.941193134	24.97324198	0	0	0	21.70875967	0
197		OC01_02	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	40	54.81140018	18.86715591		0.840175804			5.877931044		5.229375511				0	3.036641143	11.33732945	0	0	0	0
194		OC01_02	PM2.5	4.581542823	2.415243569	8.09931577	1.139396939	181	40.93550146	19.0005973		9.121830016			0		4.575248063				0	8.317490667	5.879196525	12.17013523	0	0	0
198		OC01_02	PM10	21.45502981	5.226604288	21.23749797	1.672891269	443	60.52153707	0.838397443		5.542734638	22.77441323		1.955690235		0				0	0	2.453780361	0	0.395180564	0	5.518282205
200		OC01_02	PM2.5	0.782214628	0.997971241	3.060449336	0.952872057	8	0	0		82.8540206			0.093130127		12.41685525				0	0	0.631140545	0.713072158	0.860551279	1.070757862	1.360466052
203		OC01_02	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	57	34.37662721	4.704192281		4.35597524			0.760780275		0				1.072531193	0	0	10.48097834	32.04115033	12.20777184	0
202		OC01_02	PM2.5	2.123153991	1.644166543	5.487058862	1.128464444	71	22.56875634	12.7570942		8.619385958			0.004006263		0				9.797104448	27.96427906	7.323990762	5.94179593	0	0	5.023596808
205		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	28	71.65204883	26.79277658		0.012139403			0.020790899		0				0.136483216	0.146585272	0.165159639	0.187857705	0.229376811	0.288050994	0.368728349
201		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	28	11.79661378	37.86740601		0.711703207			2.183191106		0.365745975				5.808085576	7.17222169	7.532308251	12.11940423	14.44332451	0	0
204		OC01_02	PM2.5	2.793623673	1.88598837	6.120898673	1.067216704	92	53.21010947	29.24780846		2.980739251			0		13.66867274				0	0	0	0.892672036	0	0	0
206		OC01_02	PM2.5	1.117449469	1.192803778	3.956834194	1.114956559	34	54.83971238	0		2.411161922			1.192410104		38.60687315				0.394351874	0.277330005	0.310245436	0.350411283	0.422896305	0.526209129	0.668377988
207		OC01_02	PM10	9.721810381	3.518265684	12.24179735	1.226685866	401	46.09337449	4.00130339		13.2649973	30.32450974		0.267578079		0.24282597				0	0	0	1.608977281	0	4.196425527	0
